Company Name,Tier,Sub-Industry,Employees,Revenue,Locations,HQ,L&D Team Size,Key Signal,Qualification Summary,Relevant Tech Stack Detected,Competitor Platform,Why Now,News / Press Reference,Website Evidence,Website,Talking Points,Composite Score,FIT,SIGNALS,TIMING,Override,Year Founded,Ownership Type,Last Updated,Data Source Category,ZI_Company_ID,Exclusion Status
TOMY Corporation,,Toys & Games,2665,$1.6B,31,"Oak Brook, Illinois",,,,,,,,,www.tomy.com,,,,,,,1924,PRIVATE,2026-02-25,ZoomInfo,228459380,Clean
Funko,,Toys & Games,1085,$929M,16,"Everett, Washington",,,,,,,,,,,,,,,,1998,PUBLIC,2026-02-25,ZoomInfo,20464971,Clean
Taylor Guitars,,Toys & Games,1200,$478M,10,"El Cajon, California",,,,,,,,,,,,,,,,1974,PRIVATE,2026-02-25,ZoomInfo,103284906,Clean
J. D'Addario & Company,,Toys & Games,1445,$374M,16,"Farmingdale, New York",,,,,,,,,,,,,,,,1974,PRIVATE,2026-02-25,ZoomInfo,77366207,Clean
Gibson,,Toys & Games,1463,$312M,49,"Nashville, Tennessee",,,,,,,,,,,,,,,,1984,PRIVATE,2026-02-25,ZoomInfo,44222962,Clean
Gibson,,Toys & Games,1463,$10.0B,,"Nashville, Tennessee",,,,,,,,,www.gibson.com,,,,,,,,,2026-02-25,ZoomInfo,None,Clean
D'Addario & Company Inc,,Toys & Games,1200,$200M,4,"Farmingdale, New York",,,,,,,,,www.daddario.com,,,,,,,2000,PRIVATE,2026-02-25,ZoomInfo,10388640,Clean
American Girl,,Toys & Games,1824,$676M,47,"Middleton, Wisconsin",,,,,,,,,,,,,,,,1986,PRIVATE,2026-02-25,ZoomInfo,1753252,Clean
Steinway & Sons,,Toys & Games,1886,$478M,,,,,,,,,,,www.steinway.com,,,,,,,,,2026-02-25,ZoomInfo + Estimated,None,Clean
Lakeshore,,Toys & Games,2000,$543M,125,"Carson, California",,,,,,,,,,,,,,,,1954,PRIVATE,2026-02-25,ZoomInfo,131154908,Clean
Bamium Games,,Toys & Games,2265,$441M,,,,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,17322664,Clean
Bally Technologies,,Toys & Games,3094,$469M,,"Reno, Nevada",,,,,,,,,,,,,,,,1932,PRIVATE,2026-02-25,ZoomInfo,22368080,Clean
Hasbro,,Entertainment,4985,$4.7B,3,"Pawtucket, Rhode Island",,,,,,,,,www.hasbro.com,,,,,,,1923,PUBLIC,2026-02-25,ZoomInfo,17285928,Clean
GameStop,,Toys & Games,19000,$3.8B,1013,"Grapevine, Texas",,,,,,,,,,,,,,,,1996,PUBLIC,2026-02-25,ZoomInfo,15564820,Clean
Arlanxeo,,Tires & Rubber,1007,$52M,1,"Orange, Texas",,,,,,,,,,,,,,,,2016,PRIVATE,2026-02-25,ZoomInfo,1125382187,Clean
"WEATHERTECH DIRECT, LLC",,Transportation,1200,$500M,16,"Bolingbrook, Illinois",,,,,,,,,www.weathertech.com,,,,,,,1989,PRIVATE,2026-02-25,ZoomInfo,51858648,Clean
ATCO Rubber Products,,Tires & Rubber,1500,$175M,18,"Fort Worth, Texas",,,,,,,,,,,,,,,,1961,PRIVATE,2026-02-25,ZoomInfo,7572700,Clean
Colson Group,,Tires & Rubber,1700,$461M,10,"Oakbrook Terrace, Illinois",,,,,,,,,www.colsongroup.com,,,,,,,1878,PRIVATE,2026-02-25,ZoomInfo,26480524,Clean
Yokohama Tire Corporation,,Tires & Rubber,3142,$1.5B,23,"Santa Ana, California",,,,,,,,,www.yokohamatire.com,,,,,,,1917,PRIVATE,2026-02-25,ZoomInfo,229867546,Clean
Ammeraal Beltech,,Tires & Rubber,2502,$388M,22,"Skokie, Illinois",,,,,,,,,,,,,,,,1950,PRIVATE,2026-02-25,ZoomInfo,1163172814,Clean
Bandag,,Tires & Rubber,2584,$662M,181,"Muscatine, Iowa",,,,,,,,,,,,,,,,1957,PRIVATE,2026-02-25,ZoomInfo,6179100,Clean
Toyo Tire North America,,Tires & Rubber,6000,$500M,6,"Costa Mesa, California",,,,,,,,,www.toyotires.com,,,,,,,1966,PRIVATE,2026-02-25,ZoomInfo,96403521,Clean
The Carlstar Group,,Tires & Rubber,3400,$1.0B,18,"Franklin, Tennessee",,,,,,,,,www.carlstargroup.com,,,,,,,1917,PRIVATE,2026-02-25,ZoomInfo,370038810,Clean
PolyOne,,Tires & Rubber,7000,$3.5B,,"North Haven, Connecticut",,,,,,,,,,,,,,,,1988,PRIVATE,2026-02-25,ZoomInfo,480966357,Clean
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMOVED — International
The Dessy Group,,Textiles & Apparel,1441,$278M,1,"New York City, New York",,,,,,,,,www.dessy.com,,,,,,,1939,PRIVATE,2026-02-25,ZoomInfo,11109231,Clean
YKK North & Central America,,Textiles & Apparel,1000,$374M,,"Anaheim, Georgia",,,,,,,,,ykknorthamerica.com,,,,,,,1946,PRIVATE,2026-02-25,ZoomInfo,118440020,Clean
"Kenneth Cole Productions , Inc.",,Textiles & Apparel,2337,$576M,120,"New York City, New York",,,,,,,,,www.kennethcole.com,,,,,,,1982,PRIVATE,2026-02-25,ZoomInfo,38798818,Clean
"CLOSED -CLOSED -GST AutoLeather, Inc.",,Textiles & Apparel,5600,$1.7B,,"Rochester, Michigan",,,,,,,,,www.gstautoleather.com,,,,,,,1933,PRIVATE,2026-02-25,ZoomInfo,44960170,Clean
Bella + Canvas,,Textiles & Apparel,1000,$303M,16,"Beverly Hills, California",,,,,,,,,,,,,,,,1992,PRIVATE,2026-02-25,ZoomInfo,33790768,Clean
Landau Uniforms Inc,,Textiles & Apparel,1100,$333M,13,"Olive Branch, Mississippi",,,,,,,,,www.landau.com,,,,,,,1938,PRIVATE,2026-02-25,ZoomInfo,69208927,Clean
Billabong,,Textiles & Apparel,1156,$147M,102,"Huntington Beach, California",,,,,,,,,,,,,,,,1973,PRIVATE,2026-02-25,ZoomInfo,4703229,Clean
Blue Horizon,,Textiles & Apparel,1594,$4M,1,"Rome, Georgia",,,,,,,,,,,,,,,,2000,PRIVATE,2026-02-25,ZoomInfo,358326851,Clean
Hope Global Inc,,Textiles & Apparel,1750,$300M,8,"Cumberland, Rhode Island",,,,,,,,,www.hopeglobal.com,,,,,,,1883,PRIVATE,2026-02-25,ZoomInfo,56643157,Clean
A J Textile,,Textiles & Apparel,1790,$157M,1,"Richboro, Pennsylvania",,,,,,,,,,,,,,,,1982,PRIVATE,2026-03-03,Multi-Source Enrichment,366783578,Clean
North Sails,,Textiles & Apparel,1328,$928M,69,"Milford, Connecticut",,,,,,,,,www.northsails.com,,,,,,,1957,PRIVATE,2026-02-25,ZoomInfo,27968544,Clean
Isko,,Textiles & Apparel,2038,$139M,7,"Los Angeles, California",,,,,,,,,,,,,,,,1989,PRIVATE,2026-02-25,ZoomInfo,372819645,Clean
Unifi,,Textiles & Apparel,2700,$708M,21,"Greensboro, North Carolina",,,,,,,,,www.unifi.com,,,,,,,1971,PUBLIC,2026-02-25,ZoomInfo,39452678,Clean
Asrotex Group,,Textiles & Apparel,2503,$138M,2,"New York City, New York",,,,,,,,,,,,,,,,1995,PRIVATE,2026-02-25,ZoomInfo,357398603,Clean
Rocky Brands,,Textiles & Apparel,2530,$470M,8,"Nelsonville, Ohio",,,,,,,,,,,,,,,,1932,PUBLIC,2026-02-25,ZoomInfo,33112789,Clean
Lucky Brand,,Textiles & Apparel,2600,$1.2B,349,"New York City, New York",,,,,,,,,,,,,,,,1990,PRIVATE,2026-02-25,ZoomInfo,344500730,Clean
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMOVED — International
Unifrax,,Textiles & Apparel,4000,$1.2B,,"Tonawanda, New York",,,,,,,,,www.unifrax.com,,,,,,,1996,PRIVATE,2026-02-25,ZoomInfo,39452963,Clean
"Tumi, Inc",,Textiles & Apparel,2015,$560M,286,"Edison, New Jersey",,,,,,,,,www.tumi.com,,,,,,,1975,PRIVATE,2026-02-25,ZoomInfo,39093008,Clean
Hollingsworth & Vose,,Textiles & Apparel,2796,$338M,1,"Walpole, Massachusetts",,,,,,,,,www.hollingsworth-vose.com,,,,,,,1843,PRIVATE,2026-02-25,ZoomInfo,17924105,Clean
Capelli New York,,Textiles & Apparel,3000,$815M,19,"New York City, New York",,,,,,,,,,,,,,,,1990,PRIVATE,2026-02-25,ZoomInfo,13093007,Clean
Carhartt,,Textiles & Apparel,3000,$815M,67,"Dearborn, Michigan",,,,,,,,,,,,,,,,1889,PRIVATE,2026-02-25,ZoomInfo,6799676,Clean
Glen Raven,,Textiles & Apparel,3000,$909M,46,"Burlington, North Carolina",,,,,,,,,,,,,,,,1880,PRIVATE,2026-02-25,ZoomInfo,49122773,Clean
Velcro BVBA,,Textiles & Apparel,3000,$589M,30,"Manchester, New Hampshire",,,,,,,,,www.velcro.com,,,,,,,1955,PRIVATE,2026-02-25,ZoomInfo,126615729,Clean
An Phuoc Pierre Cardin,,Textiles & Apparel,3155,$621M,,,,,,,,,,,,,,,,,,1992,PRIVATE,2026-02-25,ZoomInfo,353625385,Clean
Tom James Company,,Textiles & Apparel,3200,$650M,217,"Franklin, Tennessee",,,,,,,,,www.tomjames.com,,,,,,,1966,PRIVATE,2026-02-25,ZoomInfo,105742503,Clean
Garanimals,,Textiles & Apparel,3239,$301M,11,"New York City, New York",,,,,,,,,,,,,,,,1941,PRIVATE,2026-02-25,ZoomInfo,20726582,Clean
"MARC JACOBS INTERNATIONAL, LLC",,Textiles & Apparel,1300,$393M,147,"New York City, New York",,,,,,,,,www.marcjacobs.com,,,,,,,1984,PRIVATE,2026-02-25,ZoomInfo,74336237,Clean
GIII,,Textiles & Apparel,3500,$3.0B,1,"New York City, New York",,,,,,,,,,,,,,,,1956,PUBLIC,2026-02-25,ZoomInfo,44290657,Clean
Ariat,,Textiles & Apparel,3622,$984M,17,"San Leandro, California",,,,,,,,,,,,,,,,1993,PRIVATE,2026-02-25,ZoomInfo,2638626,Clean
Aalfs Manufacturing,,Textiles & Apparel,4171,$1.2B,,"Sioux City, Iowa",,,,,,,,,,,,,,,,1892,PRIVATE,2026-02-25,ZoomInfo,354268875,Clean
Kellwood Apparel,,Textiles & Apparel,4603,$972M,33,"La Puente, California",,,,,,,,,,,,,,,,1961,PRIVATE,2026-02-25,ZoomInfo,21282921,Clean
Kellwood Apparel,,Textiles & Apparel,4603,$971M,,"Beverly Hills, California",,,,,,,,,kellwood.com,,,,,,,,,2026-02-25,ZoomInfo,None,Clean
Steve Madden,,Textiles & Apparel,4800,$2.4B,379,"Long Island City, New York",,,,,,,,,,,,,,,,1990,PUBLIC,2026-02-25,ZoomInfo,100845011,Clean
Deckers Brands,,Textiles & Apparel,5500,$5.4B,13,"Goleta, California",,,,,,,,,,,,,,,,1973,PUBLIC,2026-03-03,Multi-Source Enrichment,32183178,Clean
Workwear Outfitters,,Textiles & Apparel,5800,$1.8B,1,"Nashville, Tennessee",,,,,,,,,,,,,,,,1999,PRIVATE,2026-02-25,ZoomInfo,7884496,Clean
Tegra,,Textiles & Apparel,7500,$3.0B,5,"Atlanta, Georgia",,,,,,,,,,,,,,,,2016,PRIVATE,2026-02-25,ZoomInfo,401445152,Clean
Crocs,,Textiles & Apparel,8010,$4.0B,1246,"Broomfield, Colorado",,,,,,,,,,,,,,,,2002,PUBLIC,2026-02-25,ZoomInfo,23563143,Clean
Caleres,,Textiles & Apparel,9400,$2.7B,7,"St. Louis, Missouri",,,,,,,,,,,,,,,,1878,PUBLIC,2026-02-25,ZoomInfo,18059310,Clean
Russell Athletic,,Textiles & Apparel,10000,$3.0B,10,"Bowling Green, Kentucky",,,,,,,,,,,,,,,,1902,PRIVATE,2026-02-25,ZoomInfo,125403804,Clean
Skechers,,Textiles & Apparel,10100,$5.2B,1025,"Manhattan Beach, California",,,,,,,,,www.skechers.com,,,,,,,1992,PRIVATE,2026-02-25,ZoomInfo,131989912,Clean
GORE,,"Medical Equipment, Supplies & Devices",13000,$3.7B,122,"Newark, Delaware",,,,,,,,,www.gore.com,,,,,,,1958,PRIVATE,2026-02-25,ZoomInfo,48451987,Clean
Kontoor,,Textiles & Apparel,13200,$2.8B,10,"Greensboro, North Carolina",,,,,,,,,,,,,,,,2019,PUBLIC,2026-02-25,ZoomInfo,468300678,Clean
Elevate Textiles Inc,,Textiles & Apparel,15000,$4.5B,4,"Charlotte, North Carolina",,,,,,,,,elevatetextiles.com,,,,,,,1989,PRIVATE,2026-02-25,ZoomInfo,464922318,Clean
Ralph Lauren,,Textiles & Apparel,15000,$7.8B,171,"New York City, New York",,,,,,,,,,,,,,,,1967,PUBLIC,2026-02-25,ZoomInfo,76350623,Clean
PVH,,Textiles & Apparel,16000,$8.8B,20,"New York City, New York",,,,,,,,,,,,,,,,1881,PUBLIC,2026-02-25,ZoomInfo,83478230,Clean
UniFirst,,Textiles & Apparel,16000,$1.8B,356,"Wilmington, Massachusetts",,,,,,,,,www.unifirst.com,,,,,,,1936,PUBLIC,2026-02-25,ZoomInfo,39452847,Clean
VF Corporation,,Textiles & Apparel,16200,$9.6B,21,"Denver, Colorado",,,,,,,,,,,,,,,,1899,PUBLIC,2026-02-25,ZoomInfo,120143876,Clean
Genesco,,Textiles & Apparel,18000,$2.4B,821,"Nashville, Tennessee",,,,,,,,,,,,,,,,1924,PUBLIC,2026-02-25,ZoomInfo,15810693,Clean
Kaltex,,Textiles & Apparel,18000,$5.5B,5,"New York City, New York",,,,,,,,,,,,,,,,1925,PRIVATE,2026-02-25,ZoomInfo,1162458809,Clean
Levi Strauss & Company,,Textiles & Apparel,19000,$6.3B,14,"San Francisco, California",,,,,,,,,,,,,,,,1853,PUBLIC,2026-02-25,ZoomInfo,89195983,Clean
Fruit of the Loom,,Textiles & Apparel,20000,$5.4B,17,"Bowling Green, Kentucky",,,,,,,,,,,,,,,,1851,PRIVATE,2026-02-25,ZoomInfo,15286443,Clean
CLOSED -CLOSED -Forterra,,Test & Measurement Equipment,5500,$1.5B,2,"Irving, Texas",,,,,,,,,https://www.forterra.com/,,,,,,,2002,PRIVATE,2026-02-25,ZoomInfo,356734345,Clean
SSI Technologies Inc,,Test & Measurement Equipment,1304,$190M,8,"Janesville, Wisconsin",,,,,,,,,ssi-sensors.com,,,,,,,1982,PRIVATE,2026-02-25,ZoomInfo,74809887,Clean
Alion Science and Technology Corporation,,Test & Measurement Equipment,3000,$740M,,"Mc Lean, Virginia",,,,,,,,,,,,,,,,2002,PRIVATE,2026-02-25,ZoomInfo,1196139,Clean
Sperry Rail Inc,,Pharmaceuticals,1448,$149M,10,"Shelton, Connecticut",,,,,,,,,www.sperryrail.com,,,,,,,1928,PRIVATE,2026-02-25,ZoomInfo,47547049,Clean
Zoeller Company,,Test & Measurement Equipment,1000,$271M,28,"Louisville, Kentucky",,,,,,,,,www.zoeller.com,,,,,,,1939,PRIVATE,2026-02-25,ZoomInfo,43335794,Clean
Albireo Energy,,Test & Measurement Equipment,1000,$272M,43,"Edison, New Jersey",,,,,,,,,,,,,,,,1975,PRIVATE,2026-02-25,ZoomInfo,39848812,Clean
Ashcroft,,Test & Measurement Equipment,1000,$311M,33,"Stratford, Connecticut",,,,,,,,,,,,,,,,1852,PRIVATE,2026-02-25,ZoomInfo,2916503,Clean
Avery Weigh-Tronix,,Test & Measurement Equipment,1000,$272M,50,"Fairmont, Minnesota",,,,,,,,,,,,,,,,1731,PRIVATE,2026-02-25,ZoomInfo,20862224,Clean
Climatec,,Test & Measurement Equipment,1000,$272M,,"Phoenix, Arizona",,,,,,,,,,,,,,,,1975,PRIVATE,2026-02-25,ZoomInfo,8487660,Clean
Cole-Parmer,,Test & Measurement Equipment,1000,$150M,15,"Vernon Hills, Illinois",,,,,,,,,,,,,,,,1955,PRIVATE,2026-02-25,ZoomInfo,28724860,Clean
Cole-Parmer,,Test & Measurement Equipment,1000,$700M,,"Vernon Hills, Illinois",,,,,,,,,www.coleparmer.com,,,,,,,,,2026-02-25,ZoomInfo + Estimated,None,Clean
Humanetics,,Test & Measurement Equipment,1000,$272M,19,"Farmington, Michigan",,,,,,,,,,,,,,,,1952,PRIVATE,2026-02-25,ZoomInfo,1275121975,Clean
LECO,,Test & Measurement Equipment,1000,$311M,52,"Saint Joseph, Michigan",,,,,,,,,,,,,,,,1936,PRIVATE,2026-02-25,ZoomInfo,22348569,Clean
LECO,,Test & Measurement Equipment,1000,$250M,,"Saint Joseph, Michigan",,,,,,,,,www.leco.com,,,,,,,,,2026-02-25,ZoomInfo,None,Clean
TSI,,Test & Measurement Equipment,1000,$271M,95,"Shoreview, Minnesota",,,,,,,,,,,,,,,,1961,PRIVATE,2026-02-25,ZoomInfo,51528140,Clean
Ball Aerospace,,Test & Measurement Equipment,1004,$215M,,"Westminster, Colorado",,,,,,,,,,,,,,,,1956,PRIVATE,2026-02-25,ZoomInfo,1123047016,Clean
Astrophysics,,Test & Measurement Equipment,1040,$41M,7,"Walnut, California",,,,,,,,,,,,,,,,2002,PRIVATE,2026-02-25,ZoomInfo,9801316,Clean
Phenomenex,,Test & Measurement Equipment,1100,$324M,13,"Torrance, California",,,,,,,,,,,,,,,,1982,PRIVATE,2026-02-25,ZoomInfo,39994291,Clean
Phenomenex,,Test & Measurement Equipment,1100,$10.0B,,"Torrance, California",,,,,,,,,www.phenomenex.com,,,,,,,,,2026-02-25,ZoomInfo,None,Clean
Transcat,,Test & Measurement Equipment,1104,$700M,,,,,,,,,,,www.transcat.com,,,,,,,,,2026-02-25,ZoomInfo + Estimated,None,Clean
Sotera Defense Solutions Inc,,Test & Measurement Equipment,1659,$232M,,"Herndon, Virginia",,,,,,,,,,,,,,,,1969,PRIVATE,2026-02-25,ZoomInfo,347017781,Clean
"Molecular Devices, LLC",,Test & Measurement Equipment,1200,$337M,24,"San Jose, California",,,,,,,,,moleculardevices.com,,,,,,,1983,PRIVATE,2026-02-25,ZoomInfo,52676636,Clean
Transcat,,Test & Measurement Equipment,1104,$10.0B,45,"Rochester, New York",,,,,,,,,www.transcat.com,,,,,,,1964,PUBLIC,2026-02-25,ZoomInfo,53691189,Clean
Luminex Corporation,,"Architecture, Engineering & Design",1247,$334M,,"Austin, Texas",,,,,,,,,www.luminexcorp.com,,,,,,,1996,PRIVATE,2026-02-25,ZoomInfo,23249531,Clean
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMOVED — International
American Ordnance,,Test & Measurement Equipment,1372,$99M,6,"Middletown, Iowa",,,,,,,,,,,,,,,,1999,PRIVATE,2026-02-25,ZoomInfo,7249546,Clean
FARO Technologies Inc,,Test & Measurement Equipment,1818,$381M,47,"Lake Mary, Florida",,,,,,,,,www.faro.com,,,,,,,1981,PRIVATE,2026-02-25,ZoomInfo,31037641,Clean
Teledyne Marine,,Test & Measurement Equipment,1403,$381M,25,"Thousand Oaks, California",,,,,,,,,,,,,,,,1962,PRIVATE,2026-02-25,ZoomInfo,558744880,Clean
AFG Holdings,,Test & Measurement Equipment,1431,$209M,12,"Houston, Texas",,,,,,,,,,,,,,,,1996,PRIVATE,2026-02-25,ZoomInfo,546439641,Clean
DwyerOmega,,Test & Measurement Equipment,1500,$207M,1,"Michigan City, Indiana",,,,,,,,,dwyeromega.com,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,566159047,Clean
Axcelis Technologies,,Test & Measurement Equipment,1524,$853M,32,"Beverly, Massachusetts",,,,,,,,,,,,,,,,1978,PUBLIC,2026-02-25,ZoomInfo,11357418,Clean
Onto Innovation,,Test & Measurement Equipment,1500,$305M,2,"Wilmington, Massachusetts",,,,,,,,,www.ontoinnovation.com,,,,,,,2019,PUBLIC,2026-02-25,ZoomInfo,481538848,Clean
Aclara Technologies LLC,,"Electricity, Oil & Gas",1700,$461M,26,"St. Louis, Missouri",,,,,,,,,www.aclara.com,,,,,,,1972,PRIVATE,2026-02-25,ZoomInfo,328601,Clean
ALGAM,,Test & Measurement Equipment,1716,$320M,2,"Setauket, New York",,,,,,,,,,,,,,,,1996,PRIVATE,2026-02-25,ZoomInfo,359367597,Clean
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMOVED — International
Becon,,Test & Measurement Equipment,1822,$328M,2,"Bloomfield, Connecticut",,,,,,,,,,,,,,,,1966,PRIVATE,2026-02-25,ZoomInfo,345164526,Clean
Allied Motion,,Test & Measurement Equipment,1950,$417M,17,"Amherst, New York",,,,,,,,,,,,,,,,1939,PRIVATE,2026-02-25,ZoomInfo,4197904,Clean
Badger Meter,,Test & Measurement Equipment,2140,$433M,20,"Milwaukee, Wisconsin",,,,,,,,,www.badgermeter.com,,,,,,,1905,PUBLIC,2026-03-03,Multi-Source Enrichment,16813678,Clean
FormFactor,,Test & Measurement Equipment,2115,$529M,19,"Livermore, California",,,,,,,,,www.formfactor.com,,,,,,,1993,PUBLIC,2026-02-25,ZoomInfo,14893875,Clean
Allen Telecom,,Test & Measurement Equipment,2473,$488M,,"Solon, Ohio",,,,,,,,,,,,,,,,1990,PRIVATE,2026-02-25,ZoomInfo,3590685,Clean
MTS Systems Corporation,,Test & Measurement Equipment,3500,$892M,77,"Eden Prairie, Minnesota",,,,,,,,,www.mts.com,,,,,,,1966,PRIVATE,2026-02-25,ZoomInfo,71468343,Clean
Ideal Industries,,Test & Measurement Equipment,2502,$814M,63,"Sycamore, Illinois",,,,,,,,,www.idealindustries.com,,,,,,,1916,PRIVATE,2026-02-25,ZoomInfo,49842257,Clean
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMOVED — International
Cognex,,Test & Measurement Equipment,2745,$994M,55,"Natick, Massachusetts",,,,,,,,,,,,,,,,1981,PUBLIC,2026-02-25,ZoomInfo,8716481,Clean
Crane Aerospace & Electronics,,Aerospace & Defense,2800,$552M,37,"Lynnwood, Washington",,,,,,,,,www.craneae.com,,,,,,,2003,PRIVATE,2026-02-25,ZoomInfo,12616154,Clean
Schenck Process Holding GmbH,,Test & Measurement Equipment,3428,$720M,,"Darmstadt, Wisconsin",,,,,,,,,www.schenckprocess.com,,,,,,,1881,PRIVATE,2026-02-25,ZoomInfo,201752772,Clean
Pump Solutions Group,,Test & Measurement Equipment,1200,$240M,52,"Oakbrook Terrace, Illinois",,,,,,,,,www.psgdover.com,,,,,,,2008,PRIVATE,2026-02-25,ZoomInfo,353847956,Clean
Neogen,,Test & Measurement Equipment,2640,$414M,40,"Lansing, Michigan",,,,,,,,,www.neogen.com,,,,,,,1982,PUBLIC,2026-02-25,ZoomInfo,27115528,Clean
Cognex,,Test & Measurement Equipment,2992,$1.0B,,"Natick, Massachusetts",,,,,,,,,www.cognex.com,,,,,,,,,2026-02-25,ZoomInfo,None,Clean
"FLIR Systems, Inc.",,Test & Measurement Equipment,4265,$1.9B,76,"Wilsonville, Oregon",,,,,,,,,www.flir.com,,,,,,,1978,PRIVATE,2026-02-25,ZoomInfo,14680168,Clean
Hamilton,,Test & Measurement Equipment,3000,$815M,27,"Reno, Nevada",,,,,,,,,,,,,,,,1953,PRIVATE,2026-02-25,ZoomInfo,50481383,Clean
Mirion Technologies,,Test & Measurement Equipment,1800,$419M,17,"Atlanta, California",,,,,,,,,www.mirion.com,,,,,,,2005,PUBLIC,2026-02-25,ZoomInfo,77579694,Clean
Tektronix,,Test & Measurement Equipment,3000,$2.5B,120,"Beaverton, Oregon",,,,,,,,,www.tek.com,,,,,,,1946,PRIVATE,2026-02-25,ZoomInfo,56295827,Clean
