Company Name,Tier,Sub-Industry,Employees,Revenue,Locations,HQ,L&D Team Size,Key Signal,Qualification Summary,Relevant Tech Stack Detected,Competitor Platform,Why Now,News / Press Reference,Website Evidence,Website,Talking Points,Composite Score,FIT,SIGNALS,TIMING,Override,Year Founded,Ownership Type,Last Updated,Data Source Category,ZI_Company_ID,Exclusion Status
Accel,,Venture Capital & Private Equity,2983,$66M,38,"Palo Alto, California",,,,,,,,,,,,,,,,1983,PRIVATE,2026-02-25,ZoomInfo,644276,Clean
Accordion,,Management Consulting,1197,$253M,11,"New York City, New York",,,,,,,,,,,,,,,,2009,PRIVATE,2026-02-25,ZoomInfo,353768729,Clean
ACE Cash Express,,Credit Cards & Transaction Processing,2803,$696M,1509,"Irving, Texas",,,,,,,,,,,,,,,,1968,PRIVATE,2026-02-25,ZoomInfo,427413,Clean
Achieve,,Banking,2700,$670M,1,"Tempe, Arizona",,,,,,,,,,,,,,,,2021,PRIVATE,2026-02-25,ZoomInfo,564318957,Clean
ACI Worldwide,,Financial Software,3103,$1.7B,89,"Elkhorn, Nebraska",,,,,,,,,,,,,,,,1975,PUBLIC,2026-02-25,ZoomInfo,907804,Clean
ACS Program-in-a-Box,,Banking,1762,$652M,1,"Washington, District of Columbia",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,1121956324,Clean
Advance America,,Lending & Brokerage,3218,$1.7B,2414,"Greenville, South Carolina",,,,,,,,,,,,,,,,1997,PRIVATE,2026-02-25,ZoomInfo,1985111,Clean
Advance Financial,,Lending & Brokerage,1000,$516M,103,"Nashville, Tennessee",,,,,,,,,,,,,,,,1996,PRIVATE,2026-02-25,ZoomInfo,353586372,Clean
Advanced Information Systems,,Management Consulting,1251,$645M,5,"Irving, Texas",,,,,,,,,,,,,,,,1987,PRIVATE,2026-02-25,ZoomInfo,574380,Clean
AdvisorCheck,,,1499,$326M,2,"Chesterfield, Missouri",,,,,,,,,,,,,,,,2020,PRIVATE,2026-02-25,ZoomInfo,351616037,Clean
Advisors Plus,,Banking,3716,$730M,2,"Saint Petersburg, Florida",,,,,,,,,,,,,,,,2004,PRIVATE,2026-02-25,ZoomInfo,348585635,Clean
Affirm,,Credit Cards & Transaction Processing,2206,$3.7B,38,"San Francisco, California",,,,,,,,,,,,,,,,2012,PUBLIC,2026-02-25,ZoomInfo,369073921,Clean
Afi Group,,,1859,$279M,,"Central Islip, New York",,,,,,,,,,,,,,,,1934,PRIVATE,2026-02-25,ZoomInfo,1033219,Clean
AgWest Farm Credit,,Banking,1000,$2M,1,"Spokane, Washington",,,,,,,,,,,,,,,,2023,PRIVATE,2026-02-25,ZoomInfo,566146824,Clean
Alaska USA Federal Credit Union,,Banking,2200,$448M,,"Anchorage, Alaska",,,,,,,,,,,,,,,,1948,PRIVATE,2026-02-25,ZoomInfo,3364901,Clean
Alera Group,,,,,,,,,,,,,,,,,,,,,,,,2026-02-25,ZoomInfo,3034144,Clean
Alliance Data,,Advertising & Marketing,6000,$3.7B,,"Columbus, Ohio",,,,,,,,,,,,,,,,1996,PUBLIC,2026-02-25,ZoomInfo,5459488,Clean
AllianceBernstein,,Investment Banking,4468,$333M,88,"Nashville, Tennessee",,,,,,,,,,,,,,,,1967,PUBLIC,2026-02-25,ZoomInfo,5985175,Clean
Alliant Credit Union,,Banking,1050,$1.2B,3,"Chicago, Illinois",,,,,,,,,,,,,,,,1935,PRIVATE,2026-02-25,ZoomInfo,1310772,Clean
Almohtab,,Banking,1221,$251M,,"Irvine, California",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,356050424,Clean
Alpha Gnome,,,1744,$363M,,"New Haven, Connecticut",,,,,,,,,,,,,,,,2009,PRIVATE,2026-02-25,ZoomInfo,479416494,Clean
Ambassador Supply,,Venture Capital & Private Equity,2700,$61M,1,"Fort Wayne, Indiana",,,,,,,,,,,,,,,,1987,PRIVATE,2026-02-25,ZoomInfo,565099281,Clean
AMBEON Holdings,,Investment Banking,2280,$424M,,,,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,452414130,Clean
Ambrics Consolidated Mineral Fund,,Investment Banking,1288,$71M,,"New York City, New York",,,,,,,,,,,,,,,,2015,PRIVATE,2026-02-25,ZoomInfo,474728143,Clean
Amegy Bank,,Banking,1200,$298M,109,"Houston, Texas",,,,,,,,,,,,,,,,1990,PRIVATE,2026-02-25,ZoomInfo,5032995,Clean
America First Credit Union,,Banking,3006,$686M,109,"Ogden, Utah",,,,,,,,,,,,,,,,1939,PRIVATE,2026-02-25,ZoomInfo,5851959,Clean
American Bank of Oklahoma,,Banking,3571,$31M,9,"Collinsville, Oklahoma",,,,,,,,,,,,,,,,1998,PRIVATE,2026-02-25,ZoomInfo,5739177,Clean
American Business Brokers,,Lending & Brokerage,1298,$55M,7,"Fort Myers Beach, Florida",,,,,,,,,,,,,,,,1999,PRIVATE,2026-02-25,ZoomInfo,3525841,Clean
American Century Investments,,Investment Banking,1400,$722M,48,"Kansas City, Missouri",,,,,,,,,,,,,,,,1958,PRIVATE,2026-02-25,ZoomInfo,369397193,Clean
American Century Investments,,Investment Banking,1400,$722M,,"Kansas City, Missouri",,,,,,,,,,,,,,,,1958,PRIVATE,2026-02-25,ZoomInfo,3557694,Clean
American Credit Acceptance,,Banking,1000,$248M,76,"Spartanburg, South Carolina",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,346453080,Clean
American Financial Network,,Banking,1150,$593M,203,"Brea, California",,,,,,,,,,,,,,,,2001,PRIVATE,2026-02-25,ZoomInfo,7704932,Clean
American Pacific Mortgage,,Lending & Brokerage,1903,$981M,202,"Roseville, California",,,,,,,,,,,,,,,,1996,PRIVATE,2026-02-25,ZoomInfo,3393282,Clean
American Stock Transfer & Trust Company,,Management Consulting,1285,$100M,,"Brooklyn, New York",,,,,,,,,,,,,,,,1970,PRIVATE,2026-02-25,ZoomInfo,3195672,Clean
Americanwest Bancorporation,,Photography Studio,1143,$77M,,"Spokane, Washington",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,7295969,Clean
Americor,,Lending & Brokerage,1751,$903M,30,"Irvine, California",,,,,,,,,,,,,,,,2009,PRIVATE,2026-02-25,ZoomInfo,2048120,Clean
Ameris Bank,,Banking,2673,$1.1B,291,"Atlanta, Georgia",,,,,,,,,,,,,,,,1971,PUBLIC,2026-02-25,ZoomInfo,9098668,Clean
Amerisave,,,2590,$980M,29,"Atlanta, Georgia",,,,,,,,,,,,,,,,2002,PRIVATE,2026-02-25,ZoomInfo,2048451,Clean
AMG,,Investment Banking,4100,$2.1B,55,"West Palm Beach, Florida",,,,,,,,,,,,,,,,1993,PUBLIC,2026-02-25,ZoomInfo,1854890,Clean
Amherst,,Lending & Brokerage,1000,$516M,87,"Austin, Texas",,,,,,,,,,,,,,,,2012,PRIVATE,2026-02-25,ZoomInfo,2901226,Clean
Amscot Financial,,Credit Cards & Transaction Processing,1958,$828M,264,"Tampa, Florida",,,,,,,,,,,,,,,,1989,PRIVATE,2026-02-25,ZoomInfo,2129954,Clean
AmSouth Bank,,Banking,2506,$96M,,"Birmingham, Alabama",,,,,,,,,,,,,,,,1987,PRIVATE,2026-02-25,ZoomInfo,4671486,Clean
Amundi Pioneer,,Investment Banking,4499,$366M,,"Boston, Massachusetts",,,,,,,,,,,,,,,,1982,PRIVATE,2026-02-25,ZoomInfo,346279571,Clean
Anchex,,Venture Capital & Private Equity,1000,$481M,,"Aurora, Colorado",,,,,,,,,,,,,,,,2020,PRIVATE,2026-02-25,ZoomInfo,564523575,Clean
anchiliu.com,,Investment Banking,1818,$100M,,"Irvine, California",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,551682789,Clean
Andersen,,Accounting Services,2347,$668M,72,"San Francisco, California",,,,,,,,,,,,,,,,2002,PRIVATE,2026-02-25,ZoomInfo,363714198,Clean
Aplop,,Banking,4199,$85M,,,,,,,,,,,,,,,,,,2011,PRIVATE,2026-02-25,ZoomInfo,346415048,Clean
Apollo,,Venture Capital & Private Equity,5108,$27.5B,29,"New York City, New York",,,,,,,,,,,,,,,,1990,PUBLIC,2026-02-25,ZoomInfo,12456398,Clean
Apple Bank,,Banking,1312,$892M,85,"New York City, New York",,,,,,,,,,,,,,,,1863,PRIVATE,2026-02-25,ZoomInfo,7458467,Clean
ARA Asset Management,,,1132,$231M,9,"Plano, Texas",,,,,,,,,,,,,,,,2002,PRIVATE,2026-02-25,ZoomInfo,346602066,Clean
Ares,,Investment Banking,3891,$5.4B,37,"Los Angeles, California",,,,,,,,,,,,,,,,1997,PUBLIC,2026-02-25,ZoomInfo,9506738,Clean
Ares,,Venture Capital & Private Equity,3200,$1.5B,7,"New York City, New York",,,,,,,,,,,,,,,,2004,PUBLIC,2026-02-25,ZoomInfo,535595607,Clean
Ares Commercial Real Estate,,,2800,$23M,5,"New York City, New York",,,,,,,,,,,,,,,,1997,PUBLIC,2026-02-25,ZoomInfo,354589593,Clean
Argand Partners,,Venture Capital & Private Equity,7500,$4M,6,"New York City, New York",,,,,,,,,,,,,,,,2015,PRIVATE,2026-02-25,ZoomInfo,397593727,Clean
Arthur M. Blank’s Family of Businesses,,Sports Teams & Leagues,1006,$227M,6,"Atlanta, Georgia",,,,,,,,,,,,,,,,2001,PRIVATE,2026-02-25,ZoomInfo,397788629,Clean
Arvest Bank,,Banking,6129,$1.8B,378,"Fayetteville, Arkansas",,,,,,,,,,,,,,,,1871,PRIVATE,2026-02-25,ZoomInfo,2867623,Clean
ASAP Advisor Services,,Investment Banking,2146,$482M,,"New York City, New York",,,,,,,,,,,,,,,,1998,PRIVATE,2026-02-25,ZoomInfo,16439659,Clean
ASG,,Investment Banking,1000,$516M,2,"Walnut Creek, California",,,,,,,,,,,,,,,,2016,PRIVATE,2026-02-25,ZoomInfo,433469348,Clean
AssetMark,,Investment Banking,1000,$728M,17,"Concord, California",,,,,,,,,,,,,,,,1996,PRIVATE,2026-02-25,ZoomInfo,3031196,Clean
AssociatedBank,,Banking,3990,$1.4B,424,"Green Bay, Wisconsin",,,,,,,,,,,,,,,,1861,PUBLIC,2026-02-25,ZoomInfo,3129587,Clean
Assurant Services Of Puerto Rico,,Banking,1085,$51M,2,"San Juan, Puerto Rico",,,,,,,,,,,,,,,,1995,PRIVATE,2026-02-25,ZoomInfo,1206286612,Clean
Astoria Financial,,Banking,1329,$381M,,"Lake Success, New York",,,,,,,,,,,,,,,,1888,PRIVATE,2026-02-25,ZoomInfo,5080630,Clean
Athene,,,1983,$21.3B,41,"West Des Moines, Iowa",,,,,,,,,,,,,,,,2009,PUBLIC,2026-02-25,ZoomInfo,3228091,Clean
ATIF Holdings,,Investment Banking,2353,$2.1B,,"Rancho Cucamonga, California",,,,,,,,,,,,,,,,2015,PRIVATE,2026-02-25,ZoomInfo,1252606594,Clean
Atlantic Union Bank,,Banking,3100,$1.2B,103,"Glen Allen, Virginia",,,,,,,,,,,,,,,,1902,PUBLIC,2026-02-25,ZoomInfo,468603052,Clean
Atlantic Union Bank,,Banking,1417,$337M,,"Richmond, Virginia",,,,,,,,,,,,,,,,1993,PUBLIC,2026-02-25,ZoomInfo,141934713,Clean
Avalon Acquisition,,Venture Capital & Private Equity,2021,$972M,1,"San Francisco, California",,,,,,,,,,,,,,,,2020,PRIVATE,2026-02-25,ZoomInfo,1303183171,Clean
Avantax,,Venture Capital & Private Equity,3000,$666M,11,"Coppell, Texas",,,,,,,,,,,,,,,,1983,PRIVATE,2026-02-25,ZoomInfo,475712823,Clean
Aviva Investors Global Services,,,,,,,,,,,,,,,,,,,,,,,,2026-02-25,ZoomInfo,350890074,Clean
Axalto,,Credit Cards & Transaction Processing,2252,$496M,,"Austin, Texas",,,,,,,,,,,,,,,,2003,PRIVATE,2026-02-25,ZoomInfo,3621462,Clean
Axcess Financial Services,,Lending & Brokerage,3444,$995M,,"Cincinnati, Ohio",,,,,,,,,,,,,,,,1994,PRIVATE,2026-02-25,ZoomInfo,10784181,Clean
Axel Johnson Inc,,Venture Capital & Private Equity,4000,$12.5B,9,"New York City, New York",,,,,,,,,,,,,,,,1920,PRIVATE,2026-02-25,ZoomInfo,5769075,Clean
Axia,,Credit Cards & Transaction Processing,1400,$52M,,"Santa Barbara, California",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,565805889,Clean
Axos,,Banking,1445,$1.8B,10,"San Diego, California",,,,,,,,,,,,,,,,2000,PRIVATE,2026-02-25,ZoomInfo,458217188,Clean
Axos Financial,,Banking,1989,$1.3B,2,"Las Vegas, Nevada",,,,,,,,,,,,,,,,2018,PUBLIC,2026-02-25,ZoomInfo,563758546,Clean
B. Riley Financial,,Venture Capital & Private Equity,2056,$1.0B,,"Los Angeles, California",,,,,,,,,,,,,,,,1997,PRIVATE,2026-02-25,ZoomInfo,123618418,Clean
B2Binspection,,Banking,1000,$55M,,,,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,537509691,Clean
Bain Capital,,Venture Capital & Private Equity,1985,$955M,57,"Boston, Massachusetts",,,,,,,,,,,,,,,,1984,PRIVATE,2026-02-25,ZoomInfo,11767348,Clean
Baird,,Investment Banking,5200,$2.9B,299,"Milwaukee, Wisconsin",,,,,,,,,,,,,,,,1919,PRIVATE,2026-02-25,ZoomInfo,23683103,Clean
Balyasny Asset Management,,Investment Banking,1000,$516M,23,"Chicago, Illinois",,,,,,,,,,,,,,,,2001,PRIVATE,2026-02-25,ZoomInfo,11767196,Clean
Banc of California,,Banking,1903,$1.0B,74,"Los Angeles, California",,,,,,,,,,,,,,,,2002,PUBLIC,2026-02-25,ZoomInfo,357346382,Clean
Bancfirst,,Banking,2135,$673M,112,"Oklahoma City, Oklahoma",,,,,,,,,,,,,,,,1966,PUBLIC,2026-02-25,ZoomInfo,22582727,Clean
BancorpSouth Bank,,Banking,6167,$70M,,"Tupelo, Mississippi",,,,,,,,,,,,,,,,1876,PUBLIC,2026-02-25,ZoomInfo,27137622,Clean
Banctrust Financial Group,,Banking,1004,$151M,,"Mobile, Alabama",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,8555147,Clean
Bangor Savings Bank,,Banking,1150,$351M,79,"Bangor, Maine",,,,,,,,,,,,,,,,1852,PRIVATE,2026-02-25,ZoomInfo,3883064,Clean
Bank Leumi,,Banking,1572,$94M,17,"New York City, New York",,,,,,,,,,,,,,,,1902,PRIVATE,2026-02-25,ZoomInfo,474664384,Clean
Bank of Albuquerque,,Banking,2130,$341M,21,"Tulsa, Oklahoma",,,,,,,,,,,,,,,,1910,PRIVATE,2026-02-25,ZoomInfo,7604144,Clean
Bank of America Private Bank,,Banking,4000,$3.6B,1,"New York City, New York",,,,,,,,,,,,,,,,1853,PRIVATE,2026-02-25,ZoomInfo,562821852,Clean
Bank of Hawaii,,Banking,1877,$705M,80,"Honolulu, Hawaii",,,,,,,,,,,,,,,,1897,PUBLIC,2026-02-25,ZoomInfo,5194495,Clean
Bank of Hope,,Banking,1442,$470M,92,"Los Angeles, California",,,,,,,,,,,,,,,,2000,PUBLIC,2026-02-25,ZoomInfo,395589506,Clean
Bank of North Carolina,,Banking,1222,$255M,,"Thomasville, North Carolina",,,,,,,,,,,,,,,,1991,PRIVATE,2026-02-25,ZoomInfo,1130577482,Clean
Bank of North Georgia,,Banking,1958,$134M,,"Flint, Michigan",,,,,,,,,,,,,,,,1999,PRIVATE,2026-02-25,ZoomInfo,3899427,Clean
Bank of Oklahoma,,Banking,3615,$898M,59,"Tulsa, Oklahoma",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,559692408,Clean
Bank of ROLF Group of Companies,,Banking,1585,$231M,,,,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,1111914690,Clean
Bank of Texas,,Banking,4966,$929M,73,"Dallas, Texas",,,,,,,,,,,,,,,,1910,PRIVATE,2026-02-25,ZoomInfo,9931739,Clean
Bank of the Ozarks,,Banking,2316,$855M,,"Little Rock, Arkansas",,,,,,,,,,,,,,,,1903,PRIVATE,2026-02-25,ZoomInfo,1114470422,Clean
Bank of the West,,Banking,2061,$113M,864,"Thomas, Oklahoma",,,,,,,,,,,,,,,,1874,PRIVATE,2026-02-25,ZoomInfo,513904126,Clean
Bank OZK,,Banking,3200,$1.7B,67,"Little Rock, Arkansas",,,,,,,,,,,,,,,,1903,PUBLIC,2026-02-25,ZoomInfo,5916842,Clean
Bankers Life,,,5000,$3.7B,586,"Chicago, Illinois",,,,,,,,,,,,,,,,1879,PRIVATE,2026-02-25,ZoomInfo,3916063,Excluded_ZI_Match
BankFirst Mortgage,,Credit Cards & Transaction Processing,2095,$908M,,"Columbus, Mississippi",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,482620331,Clean
Banking Industry,,Banking,2849,$277M,,"Milwaukee, Wisconsin",,,,,,,,,,,,,,,,1997,PRIVATE,2026-02-25,ZoomInfo,371768924,Clean
BankPlus,,Banking,1066,$497M,106,"Belzoni, Mississippi",,,,,,,,,,,,,,,,1909,PRIVATE,2026-02-25,ZoomInfo,3916303,Clean
BankUnited,,Banking,1717,$1.1B,195,"Miami Lakes, Florida",,,,,,,,,,,,,,,,1984,PUBLIC,2026-02-25,ZoomInfo,5933471,Clean
BankVista,,Banking,1004,$39M,4,"Sartell, Minnesota",,,,,,,,,,,,,,,,2000,PRIVATE,2026-02-25,ZoomInfo,6276336,Clean
Banner Bank,,Banking,1906,$647M,230,"Walla Walla, Washington",,,,,,,,,,,,,,,,1890,PUBLIC,2026-02-25,ZoomInfo,12259560,Clean
Banyan Software,,Management Consulting,1500,$376M,6,"Atlanta, Georgia",,,,,,,,,,,,,,,,2016,PRIVATE,2026-02-25,ZoomInfo,371760177,Clean
Barclays Investment Bank,,Investment Banking,21370,$11.0B,1,"New York City, New York",,,,,,,,,,,,,,,,1690,PRIVATE,2026-02-25,ZoomInfo,371227902,Clean
Barings,,Investment Banking,2000,$114M,63,"Charlotte, North Carolina",,,,,,,,,,,,,,,,1989,PUBLIC,2026-02-25,ZoomInfo,5310222,Clean
Bay Equity Home Loans,,Lending & Brokerage,1200,$341M,246,"Corte Madera, California",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,353941477,Clean
Bayview Asset Management,,Venture Capital & Private Equity,1106,$460M,20,"Coral Gables, Florida",,,,,,,,,,,,,,,,1993,PRIVATE,2026-02-25,ZoomInfo,346727613,Clean
BB&T,,Banking,3328,$100M,,"Winston Salem, North Carolina",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,1107098015,Clean
BBZoubi Group,,,3600,$943M,1,"Charlotte, North Carolina",,,,,,,,,,,,,,,,1978,PRIVATE,2026-02-25,ZoomInfo,373885690,Clean
BCG Digital Ventures,,Venture Capital & Private Equity,1000,$462M,,"Manhattan Beach, California",,,,,,,,,,,,,,,,2014,PRIVATE,2026-02-25,ZoomInfo,11338065,Clean
BECU,,Banking,3212,$408M,67,"Tukwila, Washington",,,,,,,,,,,,,,,,1935,PRIVATE,2026-02-25,ZoomInfo,19238279,Clean
Bell Bank,,Banking,1887,$917M,23,"Fargo, North Dakota",,,,,,,,,,,,,,,,1966,PRIVATE,2026-02-25,ZoomInfo,113967572,Clean
Bell Mortgage,,Lending & Brokerage,1277,$61M,48,"Phoenix, Arizona",,,,,,,,,,,,,,,,1880,PRIVATE,2026-02-25,ZoomInfo,10980548,Clean
Bergamo Acquisition,,,5888,$1.1B,,"Henderson, Nevada",,,,,,,,,,,,,,,,1997,PRIVATE,2026-02-25,ZoomInfo,409796956,Clean
Berkadia,,Banking,3625,$1.9B,139,"New York City, New York",,,,,,,,,,,,,,,,2009,PRIVATE,2026-02-25,ZoomInfo,346943071,Clean
Berkshire Bank,,Banking,1000,$376M,210,"Boston, Massachusetts",,,,,,,,,,,,,,,,1846,PRIVATE,2026-02-25,ZoomInfo,12324341,Clean
Bernstein,,Investment Banking,1091,$562M,52,"New York City, New York",,,,,,,,,,,,,,,,1967,PRIVATE,2026-02-25,ZoomInfo,559866375,Clean
Berwind,,Venture Capital & Private Equity,6000,$3.1B,19,"Philadelphia, Pennsylvania",,,,,,,,,,,,,,,,1886,PRIVATE,2026-02-25,ZoomInfo,16011977,Clean
Bessemer Trust,,Banking,1200,$619M,29,"New York City, New York",,,,,,,,,,,,,,,,1907,PRIVATE,2026-02-25,ZoomInfo,4489499,Clean
Best Brands Corp,,Food & Beverage,2193,$450M,,"Tampa, Florida",,,,,,,,,,,,,,,,1971,PRIVATE,2026-02-25,ZoomInfo,12421263,Clean
Best Practice in Talent Acquisition,,Venture Capital & Private Equity,1281,$108M,,,,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,464021660,Clean
Better,,Lending & Brokerage,1250,$146M,44,"New York City, New York",,,,,,,,,,,,,,,,2016,PUBLIC,2026-02-25,ZoomInfo,346842823,Clean
Beyond Finance,,Venture Capital & Private Equity,1400,$722M,16,"Chicago, Illinois",,,,,,,,,,,,,,,,2016,PRIVATE,2026-02-25,ZoomInfo,456032169,Clean
BGC,,Lending & Brokerage,3971,$2.8B,59,"New York City, New York",,,,,,,,,,,,,,,,1945,PUBLIC,2026-02-25,ZoomInfo,34099292,Clean
BGO,,Venture Capital & Private Equity,1400,$1.4B,5,"Miami Beach, Florida",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,471963879,Clean
BHG Financial,,Lending & Brokerage,1500,$793M,2,"Fort Lauderdale, Florida",,,,,,,,,,,,,,,,2001,PRIVATE,2026-02-25,ZoomInfo,565478434,Clean
Blackhawk Bank,,,1070,$75M,,"Beloit, Wisconsin",,,,,,,,,,,,,,,,1881,PUBLIC,2026-02-25,ZoomInfo,13225175,Clean
Blackhawk Network,,Credit Cards & Transaction Processing,3551,$1.8B,27,"Pleasanton, California",,,,,,,,,,,,,,,,2001,PRIVATE,2026-02-25,ZoomInfo,29102772,Clean
Blackstone,,Investment Banking,4895,$12.4B,34,"New York City, New York",,,,,,,,,,,,,,,,1985,PUBLIC,2026-02-25,ZoomInfo,14667677,Clean
Blackstone Mortgage Trust,,Investment Banking,1140,$440M,2,"New York City, New York",,,,,,,,,,,,,,,,1997,PUBLIC,2026-02-25,ZoomInfo,545924883,Clean
Blucora,,Accounting Services,1100,$862M,,"Coppell, Texas",,,,,,,,,,,,,,,,1996,PUBLIC,2026-02-25,ZoomInfo,363593015,Clean
Blue Owl,,Investment Banking,1365,$2.7B,3,"New York City, New York",,,,,,,,,,,,,,,,2021,PUBLIC,2026-02-25,ZoomInfo,545990745,Clean
Blue Owl Capital,,Investment Banking,5820,$1.6B,2,"New York City, New York",,,,,,,,,,,,,,,,2016,PRIVATE,2026-02-25,ZoomInfo,5000027349,Clean
BMO Capital Markets,,Investment Banking,2700,$4.5B,1,"New York City, New York",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,345453260,Clean
BMW Bank,,Banking,2276,$571M,,"St. Louis, Missouri",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,1213065305,Clean
BNP Paribas USA,,Banking,3500,$869M,1,"New York City, New York",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,353955041,Clean
BNY Wealth Management,,Investment Banking,2500,$1.3B,35,"New York City, New York",,,,,,,,,,,,,,,,2013,PRIVATE,2026-02-25,ZoomInfo,371594236,Clean
"Board of Trustees, Retirement Plan Millmens Retirement Trust of Wash",,Investment Banking,3952,$823M,,"Portland, Oregon",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,1137022480,Clean
BofI Federal Bank,,Banking,1335,$869M,,"Las Vegas, Nevada",,,,,,,,,,,,,,,,2000,PRIVATE,2026-02-25,ZoomInfo,1110318399,Clean
BOK Financial,,Banking,5000,$2.1B,26,"Tulsa, Oklahoma",,,,,,,,,,,,,,,,1910,PUBLIC,2026-02-25,ZoomInfo,5145501,Clean
BOK Financial,,Banking,4966,$1.9B,29,"Tulsa, Oklahoma",,,,,,,,,,,,,,,,1910,PUBLIC,2026-02-25,ZoomInfo,559584277,Clean
Border Assembly,,,1700,$77M,4,"San Diego, California",,,,,,,,,,,,,,,,1988,PRIVATE,2026-02-25,ZoomInfo,16552885,Clean
Boston Financial Data Services,,,1222,$148M,,"Quincy, Massachusetts",,,,,,,,,,,,,,,,1973,PRIVATE,2026-02-25,ZoomInfo,5275783,Clean
Bottomline,,Financial Software,2000,$385M,65,"Portsmouth, New Hampshire",,,,,,,,,,,,,,,,1989,PRIVATE,2026-02-25,ZoomInfo,16781030,Clean
Boulder Growth & Income Fund,,,1438,$276M,,"Denver, Colorado",,,,,,,,,,,,,,,,1972,PUBLIC,2026-02-25,ZoomInfo,19648278,Clean
